A,B,C,D,AVERAGE
291.0,817.0,637.0,238.0,495.75
825.0,757.0,435.0,74.0,522.75
972.0,399.0,353.0,909.0,658.25
875.0,914.0,600.0,323.0,678.0
478.0,774.0,481.0,628.0,590.25
854.0,784.0,482.0,451.0,642.75
147.0,858.0,870.0,962.0,709.25
604.0,449.0,716.0,850.0,654.75
955.0,913.0,910.0,570.0,837.0
461.0,676.0,662.0,70.0,467.25
756.0,716.0,765.0,522.0,689.75
288.0,469.0,802.0,626.0,546.25
963.0,841.0,899.0,136.0,709.75
394.0,234.0,686.0,112.0,356.5
582.0,461.0,232.0,2.0,319.25
598.0,278.0,420.0,759.0,513.75
557.0,845.0,183.0,347.0,483.0
399.0,966.0,680.0,847.0,723.0
925.0,345.0,559.0,963.0,698.0
206.0,691.0,437.0,391.0,431.25
161.0,714.0,50.0,468.0,348.25
307.0,223.0,208.0,749.0,371.75
403.0,704.0,7.0,349.0,365.75
854.0,457.0,885.0,439.0,658.75
425.0,575.0,589.0,10.0,399.75
533.0,498.0,972.0,704.0,676.75
412.0,334.0,257.0,689.0,423.0
456.0,495.0,476.0,10.0,359.25
784.0,203.0,726.0,956.0,667.25
680.0,477.0,882.0,937.0,744.0
453.0,826.0,637.0,519.0,608.75
476.0,12.0,267.0,155.0,227.5
864.0,94.0,499.0,620.0,519.25
120.0,618.0,232.0,128.0,274.5
178.0,928.0,209.0,740.0,513.75
934.0,974.0,640.0,988.0,884.0
781.0,943.0,583.0,623.0,732.5
96.0,673.0,484.0,692.0,486.25
742.0,444.0,898.0,205.0,572.25
415.0,743.0,144.0,620.0,480.5
504.0,995.0,655.0,87.0,560.25
481.0,408.0,475.0,804.0,542.0
472.0,463.0,636.0,99.0,417.5
851.0,989.0,616.0,597.0,763.25
282.0,888.0,73.0,584.0,456.75
499.0,506.0,502.0,382.0,472.25
72.0,519.0,841.0,378.0,452.5
106.0,426.0,837.0,449.0,454.5
916.0,258.0,915.0,909.0,749.5
707.0,653.0,182.0,167.0,427.25
238.0,626.0,401.0,309.0,393.5
852.0,858.0,963.0,985.0,914.5
846.0,660.0,209.0,232.0,486.75
